heuristic, dimensions, error, runtime, iterations
minkowski-n, 4, 7.07106750042e-07, 0.002264, 3
null, 4, 0.0, 0.011526, 57
seuclidean, 4, nan, 0.023361, 66
sqeuclidean, 4, 1.6924371522e-06, 0.00263, 3
canberra, 4, 1.83333321502e-06, 0.004504, 7
chebyshev, 4, 1.49999989674e-06, 0.007096, 17
cityblock, 4, 3.34202417207e-06, 0.002992, 4
cosine, 4, 1.80682178552e-07, 0.023329, 81
euclidean, 4, 1.93185152852e-06, 0.003035, 5
hamming, 4, 6.24999955789e-07, 0.018358, 66
minkowski-0.5n, 4, 1.93185152852e-06, 0.003246, 5
minkowski-n, 4, 1.62448701246e-06, 0.004992, 9
null, 4, 0.0, 0.018873, 93
seuclidean, 4, nan, 0.022476, 58
sqeuclidean, 4, 4.34202409849e-06, 0.002857, 4
canberra, 4, 4.99999970316e-07, 0.008167, 18
chebyshev, 4, 4.99999970316e-07, 0.003819, 8
cityblock, 4, 1.16312320131e-06, 0.003983, 5
cosine, 4, 4.35645262087e-08, 0.019559, 54
euclidean, 4, 8.66025359869e-07, 0.003502, 6
hamming, 4, 3.74999984842e-07, 0.010259, 28
minkowski-0.5n, 4, 8.66025359869e-07, 0.00374, 6
minkowski-n, 4, 6.58036981349e-07, 0.004179, 8
null, 4, 0.0, 0.017701, 82
seuclidean, 4, nan, 0.019122, 44
sqeuclidean, 4, 1.16312320131e-06, 0.003648, 4
canberra, 4, 2.66666660309e-07, 0.010596, 18
chebyshev, 4, 4.99999970316e-07, 0.004748, 10
cityblock, 4, 9.99999969054e-07, 0.002781, 4
cosine, 4, 2.56583376768e-08, 0.032762, 86
euclidean, 4, 7.07106750042e-07, 0.006493, 5
hamming, 4, 2.49999999369e-07, 0.022805, 50
minkowski-0.5n, 4, 7.07106750042e-07, 0.003983, 5
minkowski-n, 4, 5.94603520199e-07, 0.003962, 6
null, 4, 0.0, 0.024895, 95
seuclidean, 4, nan, 0.059393, 159
sqeuclidean, 4, 9.99999969054e-07, 0.004605, 4
canberra, 4, 1.89149504592e-06, 0.008746, 13
chebyshev, 4, 1.49999992516e-06, 0.005888, 8
cityblock, 4, 2.39149503045e-06, 0.002985, 4
cosine, 4, 3.77991511868e-07, 0.045344, 90
euclidean, 4, 2.00952902674e-06, 0.00554, 4
hamming, 4, 6.24999955789e-07, 0.038501, 79
minkowski-0.5n, 4, 2.00952902674e-06, 0.003334, 4
minkowski-n, 4, 1.67330851752e-06, 0.005708, 6
null, 4, 0.0, 0.026834, 112
seuclidean, 4, nan, 0.024221, 42
sqeuclidean, 4, 3.39149495687e-06, 0.0034, 4
canberra, 4, 6.66666650773e-07, 0.00485, 9
chebyshev, 4, 4.99999970316e-07, 0.005012, 10
cityblock, 4, 5.60486597578e-07, 0.002394, 3
cosine, 4, 6.69872974868e-08, 0.023494, 65
euclidean, 4, 7.07106750042e-07, 0.003187, 5
hamming, 4, 2.49999999369e-07, 0.018645, 61
minkowski-0.5n, 4, 7.07106750042e-07, 0.003288, 5
minkowski-n, 4, 5.94603520199e-07, 0.003179, 5
null, 4, 0.0, 0.014847, 75
seuclidean, 4, nan, 0.024754, 78
sqeuclidean, 4, 5.60486597578e-07, 0.002068, 3
canberra, 4, 1.27108177139e-06, 0.005587, 12
chebyshev, 4, 1.49999992516e-06, 0.007434, 14
cityblock, 4, 2.10441505999e-06, 0.003622, 7
cosine, 4, 7.49999955474e-07, 0.033127, 86
euclidean, 4, 1.8115218694e-06, 0.003355, 6
hamming, 4, 8.74999955158e-07, 0.027072, 78
minkowski-0.5n, 4, 1.8115218694e-06, 0.003242, 6
minkowski-n, 4, 1.70193573013e-06, 0.006944, 11
null, 4, 0.0, 0.029025, 131
seuclidean, 4, nan, 0.047525, 124
sqeuclidean, 4, 3.10441501483e-06, 0.002753, 5
canberra, 4, 6.02588585252e-07, 0.002615, 4
chebyshev, 4, 4.99999970316e-07, 0.004355, 9
cityblock, 4, 6.24142003858e-07, 0.001531, 3
cosine, 4, 4.77329678006e-08, 0.015561, 48
euclidean, 4, 7.07106750042e-07, 0.002836, 6
hamming, 4, 2.49999999369e-07, 0.011381, 39
minkowski-0.5n, 4, 7.07106750042e-07, 0.003155, 6
minkowski-n, 4, 5.9460354862e-07, 0.003914, 8
null, 4, 0.0, 0.013084, 62
seuclidean, 4, nan, 0.024018, 83
sqeuclidean, 4, 6.24142003858e-07, 0.001622, 3
canberra, 4, 2.41425841807e-06, 0.007042, 9
chebyshev, 4, 1.49999992516e-06, 0.006374, 9
cityblock, 4, 4.56825949868e-06, 0.003225, 4
cosine, 4, 4.10844492649e-07, 0.035128, 107
euclidean, 4, 2.68583737295e-06, 0.003628, 4
hamming, 4, 9.99999954843e-07, 0.028425, 88
minkowski-0.5n, 4, 2.68583737295e-06, 0.004131, 4
minkowski-n, 4, 2.04748731392e-06, 0.004816, 4
null, 4, 0.0, 0.030065, 140
seuclidean, 4, nan, 0.035077, 88
sqeuclidean, 4, 6.56825940837e-06, 0.003438, 4
canberra, 5, 2.32638180364e-06, 0.027385, 39
chebyshev, 5, 1.49999992516e-06, 0.03453, 50
cityblock, 5, 2.91977084999e-06, 0.012791, 7
cosine, 5, 2.57793104197e-07, 0.12707, 264
euclidean, 5, 2.11845265596e-06, 0.015047, 12
hamming, 5, 6.99999944231e-07, 0.124501, 273
minkowski-0.5n, 5, 2.11845265596e-06, 0.016362, 12
minkowski-n, 5, 1.67195260303e-06, 0.028718, 30
null, 5, 0.0, 0.118065, 340
seuclidean, 5, nan, 0.13088, 172
sqeuclidean, 5, 3.41977910523e-06, 0.008751, 5
canberra, 5, 6.66666650773e-07, 0.004383, 3
chebyshev, 5, 4.99999998738e-07, 0.008963, 4
cityblock, 5, 1.33762767973e-06, 0.004398, 3
cosine, 5, 3.2900643987e-08, 0.048082, 61
euclidean, 5, 7.07106778464e-07, 0.004058, 3
hamming, 5, 1.99999988126e-07, 0.026659, 28
minkowski-0.5n, 5, 7.07106778464e-07, 0.004372, 3
minkowski-n, 5, 5.74349172666e-07, 0.004198, 3
null, 5, 0.0, 0.034797, 87
seuclidean, 5, nan, 0.423576, 716
sqeuclidean, 5, 1.33762767973e-06, 0.004252, 3
canberra, 5, 5.9999997859e-07, 0.035178, 21
chebyshev, 5, 4.99999970316e-07, 0.014641, 18
cityblock, 5, 6.45647361353e-07, 0.005223, 3
cosine, 5, 2.16351452309e-08, 0.20065, 247
euclidean, 5, 7.07106778464e-07, 0.011648, 5
hamming, 5, 1.99999988126e-07, 0.085343, 106
minkowski-0.5n, 5, 7.07106778464e-07, 0.011835, 5
minkowski-n, 5, 5.74349172666e-07, 0.039815, 20
null, 5, 0.0, 0.148637, 398
seuclidean, 5, nan, 0.333001, 353
sqeuclidean, 5, 6.45647361353e-07, 0.005744, 3
canberra, 5, 1.69008333728e-06, 0.035519, 24
chebyshev, 5, 1.49999989674e-06, 0.008478, 4
cityblock, 5, 3.54284878767e-06, 0.006205, 4
cosine, 5, 1.48712047121e-07, 0.155273, 253
euclidean, 5, 2.59112201206e-06, 0.010257, 5
hamming, 5, 7.99999952505e-07, 0.083652, 109
minkowski-0.5n, 5, 2.59112201206e-06, 0.010691, 5
minkowski-n, 5, 1.84213052989e-06, 0.012026, 5
null, 5, 0.0, 0.120389, 323
seuclidean, 5, nan, 0.142948, 163
sqeuclidean, 5, 4.54284874252e-06, 0.005119, 4
canberra, 5, 0.0, 0.005069, 2
chebyshev, 5, 0.0, 0.004672, 2
cityblock, 5, 0.0, 0.004639, 2
cosine, 5, 0.0, 0.009301, 4
euclidean, 5, 0.0, 0.004491, 2
hamming, 5, 0.0, 0.004624, 2
minkowski-0.5n, 5, 0.0, 0.004822, 2
minkowski-n, 5, 0.0, 0.004853, 2
null, 5, 0.0, 0.012738, 34
seuclidean, 5, nan, 0.198778, 356
sqeuclidean, 5, 0.0, 0.004864, 2
canberra, 5, 3.33333318281e-07, 0.005192, 3
chebyshev, 5, 4.99999970316e-07, 0.008084, 4
cityblock, 5, 9.99999969054e-07, 0.005827, 4
cosine, 5, 0.0, 0.048602, 60
euclidean, 5, 7.07106750042e-07, 0.004222, 3
hamming, 5, 1.99999973916e-07, 0.042752, 79
minkowski-0.5n, 5, 7.07106750042e-07, 0.004558, 3
minkowski-n, 5, 5.74349144244e-07, 0.00444, 3
null, 5, 0.0, 0.042943, 122
seuclidean, 5, nan, 0.179397, 349
sqeuclidean, 5, 9.99999969054e-07, 0.00578, 4
canberra, 5, 6.67728983217e-07, 0.009143, 4
chebyshev, 5, 4.99999970316e-07, 0.012997, 11
cityblock, 5, 1.00106231571e-06, 0.007353, 3
cosine, 5, 1.04715297766e-07, 0.10056, 162
euclidean, 5, 7.08169125119e-07, 0.009633, 3
hamming, 5, 3.99999990464e-07, 0.059412, 70
minkowski-0.5n, 5, 7.08169125119e-07, 0.009487, 3
minkowski-n, 5, 6.59753936816e-07, 0.021959, 11
null, 5, 0.0, 0.092026, 222
seuclidean, 5, nan, 0.219515, 426
sqeuclidean, 5, 1.00106231571e-06, 0.007608, 3
canberra, 5, 2.20999399403e-06, 0.034278, 26
chebyshev, 5, 1.49999992516e-06, 0.036462, 38
cityblock, 5, 3.23696471582e-06, 0.007972, 4
cosine, 5, 2.69828674959e-07, 0.184495, 368
euclidean, 5, 2.44129296334e-06, 0.019313, 9
hamming, 5, 6.99999944231e-07, 0.158409, 339
minkowski-0.5n, 5, 2.44129296334e-06, 0.018764, 9
minkowski-n, 5, 1.8608241561e-06, 0.037024, 25
null, 5, 0.0, 0.136012, 400
seuclidean, 5, nan, 0.070368, 81
sqeuclidean, 5, 4.23696467067e-06, 0.007117, 4
canberra, 5, 4.99999970316e-07, 0.005875, 4
chebyshev, 5, 4.99999970316e-07, 0.007592, 6
cityblock, 5, 1.68170706161e-06, 0.004754, 3
cosine, 5, 8.16699810002e-08, 0.059767, 76
euclidean, 5, 8.66025359869e-07, 0.003734, 3
hamming, 5, 2.9999998219e-07, 0.036774, 57
minkowski-0.5n, 5, 8.66025359869e-07, 0.004257, 3
minkowski-n, 5, 6.22865442779e-07, 0.008384, 5
null, 5, 0.0, 0.047648, 137
seuclidean, 5, nan, 0.153887, 325
sqeuclidean, 5, 1.68170706161e-06, 0.00474, 3
canberra, 5, 0.0, 0.010287, 8
chebyshev, 5, 0.0, 0.003589, 2
cityblock, 5, 0.0, 0.002062, 2
cosine, 5, 0.0, 0.040887, 55
euclidean, 5, 0.0, 0.00226, 2
hamming, 5, 0.0, 0.02866, 34
minkowski-0.5n, 5, 0.0, 0.002927, 2
minkowski-n, 5, 0.0, 0.002438, 2
null, 5, 0.0, 0.027558, 70
seuclidean, 5, nan, 0.299477, 302
sqeuclidean, 5, 0.0, 0.002927, 2
canberra, 5, 0.0, 0.005658, 3
chebyshev, 5, 0.0, 0.005291, 2
cityblock, 5, 0.0, 0.004503, 2
cosine, 5, 0.0, 0.038948, 41
euclidean, 5, 0.0, 0.004413, 2
hamming, 5, 0.0, 0.01035, 8
minkowski-0.5n, 5, 0.0, 0.004955, 2
minkowski-n, 5, 0.0, 0.005017, 2
null, 5, 0.0, 0.033428, 80
seuclidean, 5, nan, 0.12965, 271
sqeuclidean, 5, 0.0, 0.005034, 2
canberra, 5, 2.41490823782e-07, 0.024547, 19
chebyshev, 5, 4.99999970316e-07, 0.011003, 9
cityblock, 5, 5.74824170485e-07, 0.005444, 3
cosine, 5, 2.30895125242e-08, 0.065828, 98
euclidean, 5, 5.74824170485e-07, 0.005571, 3
hamming, 5, 3.99999990464e-07, 0.051972, 54
minkowski-0.5n, 5, 5.74824170485e-07, 0.005344, 3
minkowski-n, 5, 6.59753922605e-07, 0.009335, 4
null, 5, 0.0, 0.055041, 150
seuclidean, 5, nan, 0.077591, 115
sqeuclidean, 5, 5.74824170485e-07, 0.004492, 3
canberra, 5, 0.0, 0.00356, 2
chebyshev, 5, 0.0, 0.003441, 2
cityblock, 5, 0.0, 0.003128, 2
cosine, 5, 0.0, 0.042876, 29
euclidean, 5, 0.0, 0.002981, 2
hamming, 5, 0.0, 0.005082, 3
minkowski-0.5n, 5, 0.0, 0.00373, 2
minkowski-n, 5, 0.0, 0.003329, 2
null, 5, 0.0, 0.018964, 43
seuclidean, 5, nan, 0.325479, 564
sqeuclidean, 5, 0.0, 0.003101, 2
canberra, 5, 7.66666644836e-07, 0.040446, 22
chebyshev, 5, 4.99999970316e-07, 0.028694, 28
cityblock, 5, 6.85930928057e-07, 0.009269, 3
cosine, 5, 6.14709847468e-08, 0.200901, 302
euclidean, 5, 8.66025388291e-07, 0.031195, 8
hamming, 5, 2.9999998219e-07, 0.126053, 137
minkowski-0.5n, 5, 8.66025388291e-07, 0.037039, 8
minkowski-n, 5, 6.22865442779e-07, 0.043942, 20
null, 5, 0.0, 0.172301, 432
seuclidean, 5, nan, 0.331877, 259
sqeuclidean, 5, 6.85930928057e-07, 0.008996, 3
canberra, 5, 7.98762457066e-07, 0.007552, 4
chebyshev, 5, 4.99999998738e-07, 0.007022, 4
cityblock, 5, 1.45559677378e-06, 0.00564, 3
cosine, 5, 1.22035544337e-07, 0.07342, 99
euclidean, 5, 8.39202570546e-07, 0.006192, 3
hamming, 5, 3.99999990464e-07, 0.041409, 48
minkowski-0.5n, 5, 8.39202570546e-07, 0.007223, 3
minkowski-n, 5, 7.06444964749e-07, 0.007141, 3
null, 5, 0.0, 0.040223, 110
seuclidean, 5, nan, 0.105706, 201
sqeuclidean, 5, 1.45559677378e-06, 0.005267, 3
canberra, 5, 2.98216546923e-06, 0.018062, 7
chebyshev, 5, 1.49999992516e-06, 0.021044, 9
cityblock, 5, 4.96549870377e-06, 0.011329, 4
cosine, 5, 3.35818043595e-07, 0.201, 262
euclidean, 5, 3.2537444099e-06, 0.010104, 4
hamming, 5, 8.99999960779e-07, 0.153428, 145
minkowski-0.5n, 5, 3.2537444099e-06, 0.012238, 4
minkowski-n, 5, 2.02712489283e-06, 0.011173, 4
null, 5, 0.0, 0.169791, 411
seuclidean, 5, nan, 0.417867, 662
sqeuclidean, 5, 6.96549859924e-06, 0.011393, 4
canberra, 5, 8.56138044014e-07, 0.006919, 5
chebyshev, 5, 4.99999970316e-07, 0.017813, 7
cityblock, 5, 1.52280468058e-06, 0.00596, 3
cosine, 5, 1.46446609506e-07, 0.11348, 185
euclidean, 5, 8.88830115287e-07, 0.005331, 3
hamming, 5, 4.99999970316e-07, 0.082095, 116
minkowski-0.5n, 5, 8.88830115287e-07, 0.006047, 3
minkowski-n, 5, 6.89864805281e-07, 0.015522, 6
null, 5, 0.0, 0.10486, 301
seuclidean, 5, nan, 0.145652, 286
sqeuclidean, 5, 1.52280468058e-06, 0.005271, 3
canberra, 5, 1.05432307862e-06, 0.008296, 8
chebyshev, 5, 4.99999970316e-07, 0.015373, 10
cityblock, 5, 1.88726438921e-06, 0.005533, 3
cosine, 5, 9.17517155585e-08, 0.103246, 177
euclidean, 5, 1.13175262584e-06, 0.007049, 3
hamming, 5, 3.99999990464e-07, 0.075463, 133
minkowski-0.5n, 5, 1.13175262584e-06, 0.008347, 3
minkowski-n, 5, 6.59753936816e-07, 0.021414, 8
null, 5, 0.0, 0.111208, 309
seuclidean, 5, nan, 0.110868, 150
sqeuclidean, 5, 1.88726438921e-06, 0.005384, 3
canberra, 5, 2.9999998219e-07, 0.039679, 37
chebyshev, 5, 4.99999970316e-07, 0.010935, 10
cityblock, 5, 5.45425393739e-07, 0.003551, 3
cosine, 5, 2.92434521043e-08, 0.131089, 176
euclidean, 5, 5.45425393739e-07, 0.003602, 3
hamming, 5, 2.9999998219e-07, 0.057576, 68
minkowski-0.5n, 5, 5.45425393739e-07, 0.004338, 3
minkowski-n, 5, 6.22865442779e-07, 0.008104, 5
null, 5, 0.0, 0.112634, 271
seuclidean, 5, nan, 0.337177, 417
sqeuclidean, 5, 5.45425393739e-07, 0.003856, 3
canberra, 5, 1.33333328733e-06, 0.01217, 4
chebyshev, 5, 4.99999970316e-07, 0.009337, 4
cityblock, 5, 1.89118733829e-06, 0.007025, 3
cosine, 5, 1.39156085766e-07, 0.056616, 60
euclidean, 5, 9.99999969054e-07, 0.00741, 3
hamming, 5, 3.99999990464e-07, 0.022356, 24
minkowski-0.5n, 5, 9.99999969054e-07, 0.007949, 3
minkowski-n, 5, 6.59753922605e-07, 0.007861, 3
null, 5, 0.0, 0.04369, 119
seuclidean, 5, nan, 0.191329, 346
sqeuclidean, 5, 1.89118733829e-06, 0.007997, 3
canberra, 5, 2.0769081317e-06, 0.131094, 67
chebyshev, 5, 1.49999989674e-06, 0.056707, 62
cityblock, 5, 3.33451521328e-06, 0.011242, 4
cosine, 5, 3.03664378976e-07, 0.365361, 703
euclidean, 5, 2.27203138081e-06, 0.044749, 19
hamming, 5, 8.99999946569e-07, 0.359288, 627
minkowski-0.5n, 5, 2.27203138081e-06, 0.066071, 19
minkowski-n, 5, 1.82335098486e-06, 0.12088, 47
null, 5, 0.0, 0.507589, 745
seuclidean, 5, nan, 0.411942, 257
sqeuclidean, 5, 4.33451515391e-06, 0.011841, 4
canberra, 5, 1.74890169546e-06, 0.033373, 32
chebyshev, 5, 1.49999992516e-06, 0.049124, 65
cityblock, 5, 2.58223498406e-06, 0.015941, 6
cosine, 5, 4.22839789849e-07, 0.22943, 392
euclidean, 5, 1.98523650852e-06, 0.023686, 16
hamming, 5, 6.99999972653e-07, 0.194474, 346
minkowski-0.5n, 5, 1.98523650852e-06, 0.034701, 16
minkowski-n, 5, 1.69603802647e-06, 0.104421, 69
null, 5, 0.0, 0.279383, 538
seuclidean, 5, nan, 0.29561, 312
sqeuclidean, 5, 4.26496174555e-06, 0.007577, 5
canberra, 5, 0.0, 0.00244199999999, 2
chebyshev, 5, 0.0, 0.002252, 2
cityblock, 5, 0.0, 0.00205, 2
cosine, 5, 0.0, 0.018324, 23
euclidean, 5, 0.0, 0.002425, 2
hamming, 5, 0.0, 0.007115, 9
minkowski-0.5n, 5, 0.0, 0.00226499999999, 2
minkowski-n, 5, 0.0, 0.002417, 2
null, 5, 0.0, 0.014659, 41
seuclidean, 5, nan, 0.017544, 10
sqeuclidean, 5, 0.0, 0.002097, 2
canberra, 5, 6.66666650773e-07, 0.014532, 11
chebyshev, 5, 4.99999970316e-07, 0.018337, 22
cityblock, 5, 7.0449320333e-07, 0.004395, 3
cosine, 5, 3.51651578967e-08, 0.090076, 153
euclidean, 5, 7.07106750042e-07, 0.00739, 5
hamming, 5, 1.99999988126e-07, 0.100432, 197
minkowski-0.5n, 5, 7.07106750042e-07, 0.007817, 5
minkowski-n, 5, 5.74349172666e-07, 0.014479, 15
null, 5, 0.0, 0.104393, 261
seuclidean, 5, nan, 0.198593, 341
sqeuclidean, 5, 7.0449320333e-07, 0.00467500000001, 3
canberra, 5, 7.22462161207e-07, 0.005852, 4
chebyshev, 5, 4.99999970316e-07, 0.011598, 10
cityblock, 5, 1.11143012305e-06, 0.005978, 4
cosine, 5, 5.20106624435e-08, 0.062665, 86
euclidean, 5, 8.18536932456e-07, 0.003101, 3
hamming, 5, 3.99999990464e-07, 0.049072, 41
minkowski-0.5n, 5, 8.18536932456e-07, 0.003611, 3
minkowski-n, 5, 6.73308804267e-07, 0.01237, 5
null, 5, 0.0, 0.054599, 143
seuclidean, 5, nan, 0.15984, 249
sqeuclidean, 5, 1.11143012305e-06, 0.005227, 4
canberra, 5, 8.19523535256e-07, 0.011004, 14
chebyshev, 5, 4.99999970316e-07, 0.015676, 18
cityblock, 5, 8.19523535256e-07, 0.002967, 3
cosine, 5, 1.18614963185e-07, 0.085064, 160
euclidean, 5, 1.11803394987e-06, 0.01532, 10
hamming, 5, 4.99999970316e-07, 0.071572, 84
minkowski-0.5n, 5, 1.11803394987e-06, 0.017742, 10
minkowski-n, 5, 6.89864805281e-07, 0.014265, 14
null, 5, 0.0, 0.106206, 284
seuclidean, 5, nan, 0.233866, 396
sqeuclidean, 5, 8.19523535256e-07, 0.00314, 3
canberra, 5, 7.66666644836e-07, 0.026483, 10
chebyshev, 5, 4.99999970316e-07, 0.016576, 11
cityblock, 5, 1.06210964645e-06, 0.009308, 3
cosine, 5, 3.83097358281e-08, 0.178444, 258
euclidean, 5, 8.66025388291e-07, 0.012978, 4
hamming, 5, 2.9999998219e-07, 0.1298, 178
minkowski-0.5n, 5, 8.66025388291e-07, 0.016398, 4
minkowski-n, 5, 6.22865442779e-07, 0.009806, 3
null, 5, 0.0, 0.166121, 401
seuclidean, 5, nan, 0.411726, 530
sqeuclidean, 5, 1.06210964645e-06, 0.008675, 3
canberra, 5, 1.08482561245e-06, 0.00635800000001, 5
chebyshev, 5, 4.99999970316e-07, 0.01039, 7
cityblock, 5, 9.99999969054e-07, 0.004735, 4
cosine, 5, 5.00000112424e-08, 0.05541, 82
euclidean, 5, 7.07106750042e-07, 0.002988, 3
hamming, 5, 1.99999988126e-07, 0.047566, 56
minkowski-0.5n, 5, 7.07106750042e-07, 0.003503, 3
minkowski-n, 5, 5.74349172666e-07, 0.00684, 4
null, 5, 0.0, 0.061575, 159
seuclidean, 5, nan, 0.187085, 377
sqeuclidean, 5, 9.99999969054e-07, 0.00448799999999, 4
canberra, 5, 3.33333318281e-07, 0.011783, 9
chebyshev, 5, 4.99999970316e-07, 0.01282, 16
cityblock, 5, 9.99999969054e-07, 0.004817, 4
cosine, 5, 2.37103279233e-08, 0.068611, 127
euclidean, 5, 7.07106750042e-07, 0.005033, 5
hamming, 5, 1.99999988126e-07, 0.045537, 93
minkowski-0.5n, 5, 7.07106750042e-07, 0.005606, 5
minkowski-n, 5, 5.74349172666e-07, 0.009708, 10
null, 5, 0.0, 0.064296, 172
seuclidean, 5, nan, 0.113879, 188
sqeuclidean, 5, 9.99999969054e-07, 0.00483699999999, 4
canberra, 5, 0.0, 0.002379, 2
chebyshev, 5, 0.0, 0.002195, 2
cityblock, 5, 0.0, 0.002057, 2
cosine, 5, 0.0, 0.008468, 6
euclidean, 5, 0.0, 0.00210300000001, 2
hamming, 5, 0.0, 0.00321099999999, 3
minkowski-0.5n, 5, 0.0, 0.002432, 2
minkowski-n, 5, 0.0, 0.002335, 2
null, 5, 0.0, 0.008541, 22
seuclidean, 5, nan, 0.026682, 21
sqeuclidean, 5, 0.0, 0.002067, 2
canberra, 5, 0.0, 0.001563, 2
chebyshev, 5, 0.0, 0.001147, 2
cityblock, 5, 0.0, 0.001107, 2
cosine, 5, 0.0, 0.020895, 17
euclidean, 5, 0.0, 0.001117, 2
hamming, 5, 0.0, 0.009154, 8
minkowski-0.5n, 5, 0.0, 0.001332, 2
minkowski-n, 5, 0.0, 0.00117700000001, 2
null, 5, 0.0, 0.00873199999999, 22
seuclidean, 5, nan, 0.044289, 43
sqeuclidean, 5, 0.0, 0.001175, 2
canberra, 5, 1.66666652035e-07, 0.00779, 4
chebyshev, 5, 4.99999970316e-07, 0.007306, 4
cityblock, 5, 4.99999970316e-07, 0.006218, 3
cosine, 5, 2.02983869713e-08, 0.050638, 64
euclidean, 5, 4.99999970316e-07, 0.006386, 3
hamming, 5, 1.00000008274e-07, 0.037572, 36
minkowski-0.5n, 5, 4.99999970316e-07, 0.006987, 3
minkowski-n, 5, 4.99999970316e-07, 0.006728, 3
null, 5, 0.0, 0.038532, 99
seuclidean, 5, nan, 0.085155, 63
sqeuclidean, 5, 4.99999970316e-07, 0.006416, 3
canberra, 5, 1.00448906437e-06, 0.007922, 3
chebyshev, 5, 4.99999970316e-07, 0.00862799999999, 4
cityblock, 5, 2.0711556914e-06, 0.00653699999999, 3
cosine, 5, 7.12535381808e-08, 0.142915, 203
euclidean, 5, 1.07115573655e-06, 0.00674, 3
hamming, 5, 4.99999970316e-07, 0.10424, 138
minkowski-0.5n, 5, 1.07115573655e-06, 0.008071, 3
minkowski-n, 5, 6.89864805281e-07, 0.009262, 4
null, 5, 0.0, 0.11541, 294
seuclidean, 5, nan, 0.345561, 558
sqeuclidean, 5, 2.0711556914e-06, 0.006971, 3
canberra, 5, 7.66666644836e-07, 0.033715, 20
chebyshev, 5, 4.99999970316e-07, 0.017613, 18
cityblock, 5, 1.40192591402e-06, 0.02051, 5
cosine, 5, 2.84404251261e-08, 0.200841, 241
euclidean, 5, 8.66025388291e-07, 0.006704, 3
hamming, 5, 2.9999998219e-07, 0.108174, 129
minkowski-0.5n, 5, 8.66025388291e-07, 0.007183, 3
minkowski-n, 5, 6.22865442779e-07, 0.018668, 15
null, 5, 0.0, 0.129279, 316
seuclidean, 5, nan, 0.454458, 591
sqeuclidean, 5, 1.40192591402e-06, 0.015521, 4
canberra, 5, 8.74148511798e-07, 0.013668, 10
chebyshev, 5, 4.99999970316e-07, 0.009571, 5
cityblock, 5, 9.57355013043e-07, 0.006004, 3
cosine, 5, 4.54313635601e-08, 0.07736, 116
euclidean, 5, 9.57355013043e-07, 0.005836, 3
hamming, 5, 2.9999998219e-07, 0.043223, 54
minkowski-0.5n, 5, 9.57355013043e-07, 0.00625299999999, 3
minkowski-n, 5, 6.22865442779e-07, 0.00755, 3
null, 5, 0.0, 0.064827, 170
seuclidean, 5, nan, 0.070694, 67
sqeuclidean, 5, 9.57355013043e-07, 0.00573600000001, 3
canberra, 5, 0.0, 0.006187, 4
chebyshev, 5, 0.0, 0.003245, 2
cityblock, 5, 0.0, 0.002886, 2
cosine, 5, 0.0, 0.036052, 67
euclidean, 5, 0.0, 0.002991, 2
hamming, 5, 0.0, 0.016578, 25
minkowski-0.5n, 5, 0.0, 0.003749, 2
minkowski-n, 5, 0.0, 0.003258, 2
null, 5, 0.0, 0.030254, 90
seuclidean, 5, nan, 0.145384, 309
sqeuclidean, 5, 0.0, 0.00359, 2
canberra, 5, 3.40828918866e-07, 0.019822, 14
chebyshev, 5, 4.99999970316e-07, 0.007548, 3
cityblock, 5, 9.42491311662e-07, 0.00540700000001, 3
cosine, 5, 3.32180718488e-08, 0.201036, 184
euclidean, 5, 9.42491311662e-07, 0.005638, 3
hamming, 5, 2.9999998219e-07, 0.056928, 55
minkowski-0.5n, 5, 9.42491311662e-07, 0.007134, 3
minkowski-n, 5, 6.22865442779e-07, 0.007396, 3
null, 5, 0.0, 0.062008, 143
seuclidean, 5, nan, 0.753518, 837
sqeuclidean, 5, 9.42491311662e-07, 0.006016, 3
canberra, 5, 5.21558177979e-07, 0.015731, 6
chebyshev, 5, 4.99999970316e-07, 0.013699, 9
cityblock, 5, 9.14469367785e-07, 0.006835, 3
cosine, 5, 1.08688098521e-07, 0.096598, 153
euclidean, 5, 9.58603834533e-07, 0.010759, 4
hamming, 5, 3.99999990464e-07, 0.07955, 122
minkowski-0.5n, 5, 9.58603834533e-07, 0.012742, 4
minkowski-n, 5, 6.4442362202e-07, 0.011962, 5
null, 5, 0.0, 0.085378, 230
seuclidean, 5, nan, 0.099069, 100
sqeuclidean, 5, 9.14469367785e-07, 0.006409, 3
canberra, 5, 0.0, 0.008502, 7
chebyshev, 5, 0.0, 0.004598, 2
cityblock, 5, 0.0, 0.00457, 2
cosine, 5, 0.0, 0.051449, 108
euclidean, 5, 0.0, 0.00453, 2
hamming, 5, 0.0, 0.026288, 48
minkowski-0.5n, 5, 0.0, 0.004936, 2
minkowski-n, 5, 0.0, 0.005244, 2
null, 5, 0.0, 0.048723, 143
seuclidean, 5, nan, 0.146378, 308
sqeuclidean, 5, 0.0, 0.00455400000001, 2
canberra, 5, 9.80792847827e-07, 0.007563, 4
chebyshev, 5, 4.99999970316e-07, 0.008473, 6
cityblock, 5, 1.21042211276e-06, 0.004647, 3
cosine, 5, 7.35985707934e-08, 0.054038, 82
euclidean, 5, 8.66025359869e-07, 0.010661, 4
hamming, 5, 2.9999998219e-07, 0.032726, 49
minkowski-0.5n, 5, 8.66025359869e-07, 0.012179, 4
