heuristic, dimensions, error, runtime, iterations
minkowski-0.5n, 2, 9.99999969054e-07, 0.000771, 4
minkowski-n, 2, 7.07106750042e-07, 0.00076, 4
null, 2, 0.0, 0.001271, 10
seuclidean, 2, nan, 0.00189, 8
sqeuclidean, 2, 9.99999969054e-07, 0.000783, 4
canberra, 2, 0.0, 0.00047, 2
chebyshev, 2, 0.0, 0.000421, 2
cityblock, 2, 0.0, 0.000416, 2
cosine, 2, 0.0, 0.000506, 2
euclidean, 2, 0.0, 0.000522, 2
hamming, 2, 0.0, 0.000599, 2
minkowski-0.5n, 2, 0.0, 0.000514, 2
minkowski-n, 2, 0.0, 0.000417, 2
null, 2, 0.0, 0.000206, 2
seuclidean, 2, nan, 0.002678, 13
sqeuclidean, 2, 0.0, 0.000404, 2
canberra, 2, 6.66666650773e-07, 0.000974, 5
chebyshev, 2, 4.99999970316e-07, 0.001152, 5
cityblock, 2, 7.89525842038e-07, 0.000589, 3
cosine, 2, 5.27863903699e-08, 0.001356, 7
euclidean, 2, 7.07106750042e-07, 0.000778, 4
hamming, 2, 4.99999970316e-07, 0.001219, 7
minkowski-0.5n, 2, 7.89525842038e-07, 0.000674, 3
minkowski-n, 2, 7.07106750042e-07, 0.000766, 4
null, 2, 0.0, 0.000814, 7
seuclidean, 2, nan, 0.001519, 6
sqeuclidean, 2, 7.89525842038e-07, 0.000563, 3
canberra, 2, 0.0, 0.000345, 2
chebyshev, 2, 0.0, 0.000267, 2
cityblock, 2, 0.0, 0.00025, 2
cosine, 2, 0.0, 0.000309, 2
euclidean, 2, 0.0, 0.000279, 2
hamming, 2, 0.0, 0.000289, 2
minkowski-0.5n, 2, 0.0, 0.000273, 2
minkowski-n, 2, 0.0, 0.000265, 2
null, 2, 0.0, 0.000182, 2
seuclidean, 2, nan, 0.000952, 3
sqeuclidean, 2, 0.0, 0.00026, 2
canberra, 2, 9.99999798523e-08, 0.001786, 10
chebyshev, 2, 4.99999970316e-07, 0.001085, 5
cityblock, 2, 4.99999970316e-07, 0.000696, 3
cosine, 2, 9.70965174929e-09, 0.00278, 15
euclidean, 2, 4.99999970316e-07, 0.00091, 4
hamming, 2, 2.49999999369e-07, 0.00194, 12
minkowski-0.5n, 2, 4.99999970316e-07, 0.000788, 3
minkowski-n, 2, 4.99999970316e-07, 0.000952, 4
null, 2, 0.0, 0.002006, 16
seuclidean, 2, nan, 0.002359, 9
sqeuclidean, 2, 4.99999970316e-07, 0.000691, 3
canberra, 2, 9.99999954843e-07, 0.000929, 5
chebyshev, 2, 4.99999970316e-07, 0.000768, 4
cityblock, 2, 9.99999954843e-07, 0.000768, 4
cosine, 2, 4.99999970316e-07, 0.001714, 8
euclidean, 2, 7.07106750042e-07, 0.000696, 4
hamming, 2, 4.99999970316e-07, 0.000888, 5
minkowski-0.5n, 2, 9.99999954843e-07, 0.000895, 4
minkowski-n, 2, 7.07106750042e-07, 0.000784, 4
null, 2, 0.0, 0.001038, 9
seuclidean, 2, nan, 0.002638, 13
sqeuclidean, 2, 9.99999954843e-07, 0.000821, 4
canberra, 2, 0.0, 0.000658, 3
chebyshev, 2, 0.0, 0.000493, 2
cityblock, 2, 0.0, 0.000406, 2
cosine, 2, 0.0, 0.001601, 7
