cosine, 4, nan, 0.651127, 91
euclidean, 4, 4.99739637263e-05, 0.02324, 7
minkowski-0.5n, 4, 4.99739637263e-05, 0.026741, 7
minkowski-n, 4, 3.80926819474e-05, 0.029785, 8
seuclidean, 4, 3.89737841999e-06, 0.157315, 43
sqeuclidean, 4, 0.000801352867711, 0.022446, 6
canberra, 4, 0.0, 0.038028, 14
chebyshev, 4, 1.38124466815e-05, 0.018459, 6
cityblock, 4, 0.000108617237998, 0.018108, 6
cosine, 4, nan, 0.573069, 114
euclidean, 4, 4.09844912923e-05, 0.026138, 7
minkowski-0.5n, 4, 4.09844912923e-05, 0.027655, 7
minkowski-n, 4, 3.40631920039e-05, 0.028087, 7
seuclidean, 4, 6.46565916895e-06, 0.216916, 61
sqeuclidean, 4, 0.00079314880675, 0.020227, 6
canberra, 4, 0.0, 0.034539, 13
chebyshev, 4, 1.61043040947e-05, 0.018857, 6
cityblock, 4, 9.55875302964e-05, 0.019491, 6
cosine, 4, nan, 0.397603, 99
euclidean, 4, 5.16224741176e-05, 0.023676, 7
minkowski-0.5n, 4, 5.16224741176e-05, 0.027484, 7
minkowski-n, 4, 3.0807901382e-05, 0.02404, 7
seuclidean, 4, 1.04809791992e-05, 0.38527, 111
sqeuclidean, 4, 0.00079158729551, 0.020959, 6
canberra, 4, 0.0, 0.031657, 11
chebyshev, 4, 2.50426193134e-05, 0.023834, 7
cityblock, 4, 0.000120388650402, 0.02303, 7
cosine, 4, nan, 0.511111, 124
euclidean, 4, 5.28743335764e-05, 0.022762, 7
minkowski-0.5n, 4, 5.28743335764e-05, 0.022974, 7
minkowski-n, 4, 3.30505351087e-05, 0.023091, 7
seuclidean, 4, 7.11446105583e-07, 0.100497, 22
sqeuclidean, 4, 0.000799477650943, 0.019766, 6
canberra, 4, 0.0, 0.034528, 13
chebyshev, 4, 2.11181736915e-05, 0.024208, 8
cityblock, 4, 0.000103184366253, 0.018484, 6
cosine, 4, nan, 0.48218, 118
euclidean, 4, 5.51336903527e-05, 0.038769, 8
minkowski-0.5n, 4, 5.51336903527e-05, 0.027443, 8
minkowski-n, 4, 3.26129292887e-05, 0.027664, 8
seuclidean, 4, 2.91928709828e-06, 0.300681, 84
sqeuclidean, 4, 0.000788226357187, 0.021377, 6
canberra, 5, 0.0, 0.095163, 12
chebyshev, 5, 2.63956834772e-05, 0.077306, 8
cityblock, 5, 0.000156803037441, 0.067572, 7
cosine, 5, nan, 1.214561, 50
euclidean, 5, 4.57422455042e-05, 0.072644, 7
minkowski-0.5n, 5, 4.57422455042e-05, 0.068929, 7
minkowski-n, 5, 2.80839176838e-05, 0.070065, 7
